Year,Discipline,Sex,Age Group,SK Racers,Average Points,Total Points,List Name,Publication Date,List ID
2021,Sprint,Men,MM7,0,0.0,0,Final CPL Sp 20-21 V2,2021-04-18,1542
2021,Sprint,Men,MM8,0,0.0,0,Final CPL Sp 20-21 V2,2021-04-18,1542
2021,Sprint,Men,SM,1,79.33,79.33,Final CPL Sp 20-21 V2,2021-04-18,1542
2021,Sprint,Men,U14,0,0.0,0,Final CPL Sp 20-21 V2,2021-04-18,1542
2021,Sprint,Men,U16,0,0.0,0,Final CPL Sp 20-21 V2,2021-04-18,1542
2021,Sprint,Men,U18,0,0.0,0,Final CPL Sp 20-21 V2,2021-04-18,1542
2021,Sprint,Men,U20,0,0.0,0,Final CPL Sp 20-21 V2,2021-04-18,1542
2021,Sprint,Women,MW1,0,0.0,0,Final CPL Sp 20-21 V2,2021-04-18,1543
2021,Sprint,Women,MW5,0,0.0,0,Final CPL Sp 20-21 V2,2021-04-18,1543
2021,Sprint,Women,MW9,0,0.0,0,Final CPL Sp 20-21 V2,2021-04-18,1543
2021,Sprint,Women,SW,0,0.0,0,Final CPL Sp 20-21 V2,2021-04-18,1543
2021,Sprint,Women,U12,0,0.0,0,Final CPL Sp 20-21 V2,2021-04-18,1543
2021,Sprint,Women,U14,0,0.0,0,Final CPL Sp 20-21 V2,2021-04-18,1543
2021,Sprint,Women,U16,0,0.0,0,Final CPL Sp 20-21 V2,2021-04-18,1543
2021,Sprint,Women,U18,0,0.0,0,Final CPL Sp 20-21 V2,2021-04-18,1543
2021,Sprint,Women,U20,2,53.09,106.17,Final CPL Sp 20-21 V2,2021-04-18,1543
2022,Distance,Men,MM1,0,0.0,0,5th CPL Distance 2022,2022-04-08,1622
2022,Distance,Men,MM2,0,0.0,0,5th CPL Distance 2022,2022-04-08,1622
2022,Distance,Men,MM3,1,53.18,53.18,5th CPL Distance 2022,2022-04-08,1622
2022,Distance,Men,MM4,0,0.0,0,5th CPL Distance 2022,2022-04-08,1622
